folder_name,site,image_name,species,year,fish_area,ac_area,ac_ratio,fl,weight,sex,ac_ratio_old,,,
SZ,SZ,P8210032.jpg,WSC,0+,237989,14272,0.059969158,75,4.6,,0.061406199,,,
SZ,SZ,P8210034.jpg,WSC,1+,576065,130979,0.227368439,155,35.8,2,0.135033373,,,
SZ,SZ,P8210036.jpg,DV,1+,613830,26725,0.043538113,153,33.9,3,0.062986495,,,
SZ,SZ,P8210038.jpg,DV,1+,686801,34575,0.050342093,130,20,2,0.067485341,,,
SZ,SZ,P8210040.jpg,DV,1+,649302,228542,0.35198105,129,21.9,3,0.311520679,,,
SZ,SZ,P8210043.jpg,DV,1+,700998,52789,0.075305493,150,34.4,2,0.07054799,,,
SZ,SZ,P8210046.jpg,WSC,1+,701154,137960,0.196761339,138,25.8,2,0.181382407,,,
SZ,SZ,P8210049.jpg,WSC,0+,333593,44513,0.133435054,79,5.2,,0.136789441,,,
SZ,SZ,P8210052.jpg,WSC,1+,541679,183592,0.33893136,140,27.4,3,0.306580096,,,
SZ,SZ,P8210056.jpg,WSC,1+,527399,102023,0.19344557,108,12.5,2,0.205004181,,,
SZ,SZ,P8210059.jpg,WSC,0+,381583,73178,0.191774791,78,4.5,,0.216178394,,,
SZ,SZ,P8210062.jpg,WSC,1+,609408,189835,0.311507233,142,30,2,0.331479075,,,
SZ,SZ,P8210064.jpg,DV,1+,637671,100665,0.157863538,152,32.6,2,0.132653045,,,
SZ,SZ,P8210067.jpg,WSC,1+,545758,154652,0.283371018,124,18.1,3,0.331738609,,,
SZ,SZ,P8210069.jpg,WSC,1+,829733,266450,0.321127399,155,40.2,2,0.334370213,,,
SZ,SZ,P8210071.jpg,WSC,0+,345639,67312,0.194746542,87,6.7,3,0.192701055,,,
SZ,SZ,P8210073.jpg,WSC,0+,253500,20432,0.080599606,67,2.9,3,0.115585799,,,
SZ,SZ,P8210075.jpg,WSC,1+,753531,189173,0.251048729,149,31.4,3,0.240649688,,,
SZ,SZ,P8210077.jpg,WSC,1+,413781,46866,0.113262813,108,12.2,,0.188181671,,,
SZ,SZ,P8210079.jpg,WSC,1+,425138,68190,0.160394978,104,10.6,2,0.187687292,,,
SZ,SZ,P8210082.jpg,WSC,1+,591134,125588,0.212452676,134,23.1,3,0.254436388,,,
SZ,SZ,P8210084.jpg,DV,1+,672104,300993,0.447836942,148,36.3,3,0.30193839,,,
